English,Kiswahili,Ekegusii,Domain,PSA_Probability,Is_PSA
"WFP Kenya Country Brief, June 2026","Muhtasari wa Nchi wa WFP wa Kenya, Juni 2026",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7825,1
"Up to 6 months from the date of the child, start feeding the child with food rich in minerals as you continue with breast feeding. Prevent feeding the child with sugarly fast foods, and also ensure cleanlinness.",,"Ase emetienyi etano nomo nyuma yokoibora, chaka koa omwana endagera enene ebwate amadini omwana kagedererete nokogonka. Etange koria ebitoki bibwate Esukari enyinge na enekia obochenu engaki y’okorageria.",Health,0.8963,1
Learn progressive agriculture skills in guarding surroundings in attaining continuous harvest from our small scale farms.,,Beegie chingencho chioboboremi bwokwegendereria as okorenda ebitoetanete eriogoikerania rigesa riabotambe ase oboremi bwabaremi bemondo emeke,Agriculture,0.8892,1
"The said legal framework which has been in operation for period of 9 years, has been critical in streamlining the Public Procurement system in Kenya, inter alia, providing for efficient public procurement; providing clarity on the public procurement procedures and methods; emphasizing the role of professionals in public procurement; streamlining the roles and responsibilities of various actors in public procurement ; providing for eProcurement; and laying emphasis on robust contract management and Asset Management.",,,General,0.9002,1
KNCHR urges caution after violent protests.,KNCHR yatoa wito wa tahadhari baada ya maandamano ya vurugu.,Ekeombe keria ekenen kerendete oboronge bwanyabanto (KNCHR) giasabire abanto maiso nyuma yogosaganwa.,Security,0.8873,1
The government has imposed a raft of new drastic measures after cases of the new coronavirus in Kenya jumped to 15 in the last 72 hours. The new directives came after eight more people tested positive for COVID-19,Serikali imeweka hatua kadhaa kali baada ya visa vya virusi vipya vya korona nchini Kenya kupanda hadi 15 katika saa 72 zilizopita. Maagizo hayo mapya yalikuja baada ya watu wengine wanane kupimwa na kupatikana na COVID-19.,Eserekali yabekireebitambokero ekero ebinyinyi ebinyia bia Korona biamentekanete goika 15 ime ye’chinsa 72 chiaetire. Amachiko amayia nigo achete magega yabanto bande batano na batato gopimwa na konyorekana na COVID-19.,Health,0.7149,1
Join community schools! Affordable education for low-income families.,Jiunge na shule za jamii! Elimu ya bei nafuu kwa familia zenye kipato cha chini.,Soa chisukuru chia inka! Echio chitabwati oboroto bwechibesa ase baria bare nokonyora gwa inse.,Education,0.936,1
"Straight row planting allows the use of hand-operated, push-pull weeders. ... New technology x technology or technology x environmental interactions may be ...",,"Gosimeka ase omorobiro orambogete buya ase ogotumia gogotumia amaboko erio kwororobia okoburugera ebimeri... Tekinorochia enyia x tekinorochia gose tekinorochia x engencho amakonde, na bionsi bikoererania nebaise....",Agriculture,0.6638,1
Announcing Makueni County partnership with Nutrition International to review advertising norms and develop cross-sectoral food security policy.,,Okoraria okobwaterana na ekaunti ya Makueni na ekeombe ekenene ense yonsi gwechindagera goetera amachiko yokoraria na korosia ebitambokero bioborendi ase chindagera ase chinsagia ao ao,Health,0.8368,1
KNCHR uses theatre to teach human rights principles.,,Ekeombe keria ekenene kerendete oboronge bwakemwanyabanto KNCHR ekegotumi amachiko aria ancheire ense engima gosomia abanto igoro yaria arengete yoboronge bwabo.,Education,0.7585,1
"This program urges farming using (CSA) methodology, rules and use of diverse practices in Myanmar. In the field, this program powerful in five demonstration.",,"Emeremo eye nigo egosegeta oboremi bokogenda nerire (CSA) amachiko na okwegia ase ebitambokero ao ao paaria Myanmar. Aaria mogondo, ooroberio oyo nore nechinguru ase chinsemo isano chikwegia...",Agriculture,0.8311,1
Keep a first aid kit at home and learn basic first aid procedures.,Weka vifaa vya huduma ya kwanza nyumbani na ujifunze taratibu za msingi za huduma ya kwanza.,Kabe namariogo nyomba aria aragokonye gokonyera oborwaire bwa mobasekano gose omonto oumiire otaramoikia nyagitari.,Security,0.7633,1
