English,Kiswahili,Ekegusii,Domain
"Education Cabinet Secretary George Magoha outlined eight critical measures for schools resuming classesÃ‚â€”targeted initially at Grades 4, Class?8, and Form?4.","Waziri wa Elimu George Magoha alielezea hatua nane muhimu kwa shule zinazoanza tena madarasa - zilizolengwa awali katika Darasa la 4, Darasa la 8, na Kidato cha 4.","Omominisita bwechisemi George Magoha akabara ebinto 8 biengencho birakonye chisukuru gotairanera ebirasi, orengete abana ba gredi 4, 8, nesekenderi ekerasi gia 4?.",Education
"Governor Dr. Bii urged residents to remain vigilant and to make use of the county's healthcare services, especially during the festive period and the ongoing season of rites of passage.","Gavana Dkt. Bii aliwasihi wakazi kuendelea kuwa macho na kutumia huduma za afya za kaunti, hasa wakati wa sherehe na msimu unaoendelea wa sherehe za kuaga mwili.","Omogafana Dak. Biagasaba gotigara koba maiso na gotumia buya obokoreri afia yekaonti, mono kegima chingaki echi chiomotimoko na nechinyangi chiabana kwaroka.",Governance
CBC forums in all counties in February.,N/A - Pending Fine-Tuned Model Inference,Ebikaranso igoro yesisemi chirengete okobua kwomwana (CBC) mbikoreke chikaonti chionso 47 forums in all counties in February.,Education
Kwale County: Drought Early Warning Bulletin for January 2024,Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
KUCCPS opens final course change window ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ switch degree before servers crash!,KUCCPS inafungua dirisha la mwisho la kubadilisha kozi ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ shahada ya kubadili kabla ya seva kuanguka!,"Ekeombe keria ekenene getenerete korangeria abana gochia eyunifasiti KUCCPS kiagoire omoroberio bwomoerio,  soa omoroberio bwedigiri nyuma eintaneti etaraengerwa!",Education
Announcement to provide free milk to primary schools inMigori and nakuru counties to encourage more entries of children to school,N/A - Pending Fine-Tuned Model Inference,Okorari gwokorwa amabere abosa ase chisikuru chioboroso ase chikaonti chia Migori na Nakuru erio komenta okorereta na komenta abana bagosoa chisukuru,Health
"A report to proof hiow Kenya is committed in labbling its foods, and market regulation and at border control",N/A - Pending Fine-Tuned Model Inference,"Eropoti yabeene ekoenekia okwerwa gwa Kenya ase okobeka ebimanyererio ase chindagera, ebitango ase okoonigwa na gochika amachiko ase chimbebe",Health
TVETA initiates development of comprehensive digital literacy modules tailored for TVET learners.,N/A - Pending Fine-Tuned Model Inference,Aborai bwekeombe keria ekenene getenerete chikorechi chiobobundi nechisemi chiokwegendereria TVETA nkobeka kere emeroberio emeikeranu igoro yechisemi chigedichitari chirengete abana ba TVET.,Education
CS Ruku urges Ministries to expand Services in Huduma Centres,N/A - Pending Fine-Tuned Model Inference,omowasiri Ruku oboririe chiminisitiri koenana obokoreria bwabo ase chiobisi chiobokoreri chire ang'e ase abanto gose chikaunti. obokoreri bene.,Governance
"All TVET trainees to get Ksh 7,000 monthly stipend starting January.","Wanafunzi wote wa TVET watapata posho ya Ksh 7,000 kila mwezi kuanzia Januari.","abarimu baria binsi bkwegerigwa gosomia baakanwe 7,000 kera omotieny bekonyere nechikombiuta chiokoboko chiokwegeria gosomia tekinorochia nyuma ya yomotienyi omtang’ani 2026",Education
"Drip irrigation ensures crop roots get water one on one, thereby preserving water, and maintain goat rearing.",N/A - Pending Fine-Tuned Model Inference,"Omoroberio bwokonyorokereria amche ase ebiimeri nomoikeranu ekiagera ogotonyia amache gochia emeri yebimeri erio gokonya gotumia amache buya, na goikerania obotugi bwechimbori.",Agriculture
GIEWS Country Brief: Kenya 18-June-2025,GIEWS Muhtasari wa Nchi: Kenya 18-Juni-2025,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Universities urged to offer training on emerging technologies to prepare students for future job markets.,Chuo Kikuu cha Nairobi kutoa vifaa zaidi vya kozi vinavyopatikana kama Rasilimali Huria za Elimu (OER).,Chiyunifasiti chiasoroirwe korwa amasomo igoro yechitekinorochi  chiabono aerio koarigania abana kwebeka ang'e ase echiro yemeremo abwo motwe.,Education
Nonprofit CFK Africa Raises Funds to Aid Tradesmen Displaced by Toi Market Fire in Kenya,Shirika lisilo la faida la CFK Africa Yachangisha Pesa Kuwasaidia Wafanyabiashara Waliohamishwa na Toi Market Fire nchini Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Practice intercropping your maize foeld with banana stools to increase yields, reduce diseases as you expand a variety of harvests .",N/A - Pending Fine-Tuned Model Inference,"Rema ebituma amo namatoke amo (okoburukania) erio konyora rigesa rinene korwa omogondo oo, ekeanie amarwaire, na kogareia ebitoki korwa oboremi bwao.",Agriculture
Ministry of Education pilots mobile science labs to enhance STEM education in arid and semi-arid lands.,N/A - Pending Fine-Tuned Model Inference,"Eminisitiri yechisemi nere nemeroberio yogotema obosayansi ase chisukuru inke erio gokinia amasomo Yobosayansi, Etekinorochia, Oboinchinia amo Nechisabu (STEM) ase chingongo chinyomo.",Education
Bursary fraud: Only use official county portals ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ ignore WhatsApp groups!,Tahadhari ya ulaghai wa ufadhili wa masomo: Tuma maombi kupitia lango rasmi za kaunti pekee puuza matapeli wa WhatsApp.,"Oboibi bwechibesa chiogosomera: Saba chibesa echi goetera portals yekaonti, ombia obongainereria korwa baria ba WhatsApp!",Education
Kenya - Turkana County - Kakuma Refugee Camp Infrastructure Map (29/08/2024),Kenya - Kaunti ya Turkana - Ramani ya Miundombinu ya Kambi ya Wakimbizi ya Kakuma (29/08/2024),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Rise in robberies during protests calls for stronger security planning.,Kuongezeka kwa wizi wakati wa maandamano kunahitaji mipango imara ya usalama.,Ogokina bwoboibi chingaki chiokoroberekana negatie omoroberio omuya bwoborendi.,Security
