English,Kiswahili,Domain,Ekegusii
"Health Chief Administrative Secretary, Dr. Rashid Aman, today flagged off vehicles procured through the support of @gavi to boost the national vaccine & immunization program activities in the Counties of Garissa, Lamu, Mandera, Wajir, West Pokot & Nandi. #KomeshaCorona update.","Katibu Mkuu wa Utawala wa Afya, Dkt. Rashid Aman, leo ameashiria magari yaliyonunuliwa kupitia usaidizi wa @gavi ili kuimarisha shughuli za mpango wa kitaifa wa chanjo na chanjo katika Kaunti za Garissa, Lamu, Mandera, Wajir, Pokot Magharibi na Nandi. #KomeshaCorona sasisho.",Public Health,
Wajir County: Drought Early Warning Bulletin for February 2023,Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,Disaster/Health,
"The Government of Kenya (GoK) with the support from the World Bank (WB) is implementing the 'Kenya Secondary Education Quality Improvement Project' (SEQIP).The Project is designed to complement other projects and activities financed by the Government under the National Education Strategic Plan (NESP), the Global Partnership for Education (GPE) grant, and other programs supported by various Development Partners (DPs) in the sector. The Constitution of Kenya (2010) has the Bill of Rights at its core, while the country's Vision 2030 acknowledges the need to reform the education and training system so that it aligns well with the aspirations of the youth, and those of the country on becoming an upper-middle income industrialized nation.","Serikali ya Kenya (GoK) kwa msaada kutoka Benki ya Dunia (WB) inatekeleza 'Mradi wa Kuboresha Ubora wa Elimu ya Sekondari ya Kenya' (SEQIP). Mradi huu umeundwa ili kukamilisha miradi na shughuli nyingine zinazofadhiliwa na Serikali chini ya Mpango wa Kitaifa wa Mkakati wa Elimu (NESP), ruzuku ya Global Partnership for Education (GPE), na programu nyingine zinazoungwa mkono na Washirika mbalimbali wa Maendeleo katika sekta ya Maendeleo (DPs). Katiba ya Kenya (2010) ina Mswada wa Haki katika msingi wake, wakati Dira ya 2030 ya nchi inakubali haja ya kurekebisha mfumo wa elimu na mafunzo ili uendane vyema na matarajio ya vijana, na yale ya nchi juu ya kuwa taifa la watu wenye kipato cha kati kilichoendelea kiviwanda.",General,
"Kenya Price Bulletin, January 2024","Taarifa ya Bei ya Kenya, Januari 2024",Disaster/Health,
"In settings where complications can go unrecognized and timely care is often out of reach, skilled support can mean the difference between life and death.","Katika mazingira ambapo matatizo yanaweza kwenda bila kutambuliwa na huduma ya wakati mara nyingi haipatikani, usaidizi wenye ujuzi unaweza kumaanisha tofauti kati ya maisha na kifo.",Disaster/Health,
"COVID-19 could deepen food insecurity, malnutrition in Africa14 May 2020","COVID-19 inaweza kuzidisha uhaba wa chakula, utapiamlo barani Afrika14 Mei 2020",General,
Kenya | DG ECHO response 2022 - DG ECHO Daily Map | 02/12/2022,Kenya | Jibu la DG ECHO 2022 - Ramani ya Kila Siku ya DG ECHO | 02/12/2022,Disaster/Health,
Mandera County: Drought Early Warning Bulletin for October 2023,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame ya Oktoba 2023,Disaster/Health,
Transform your raw grains into a higher-value honey wine. Discover simple processing methods and potential markets.,Badilisha nafaka zako mbichi kuwa divai ya asali yenye thamani kubwa. Gundua mbinu rahisi za usindikaji na masoko yanayowezekana.,Agriculture,
"Kenya | Drought and Hunger Crisis - Operation Update (6 months), DREF Operation n° MDRKE049","Kenya | Mgogoro wa Ukame na Njaa - Sasisho la Operesheni (miezi 6), Operesheni ya DREF n° MDRKE049",Disaster/Health,
Kilifi County: Drought Early Warning Bulletin for April 2023,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Aprili 2023,Disaster/Health,
I took that step for my five children who depend on me.,Nilichukua hatua hiyo kwa watoto wangu watano wanaonitegemea.,Disaster/Health,
Samburu County: Drought Early Warning Bulletin for March 2022,Kaunti ya Samburu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,Disaster/Health,
Kenya: Drought - County Map Series (18 Apr 2023),Kenya: Ukame - Msururu wa Ramani za Kaunti (18 Apr 2023),Disaster/Health,
Marsabit County: Drought Early Warning Bulletin for January 2024,Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2024,Disaster/Health,
Uganda safeguards essential health services during Ebola outbreak response,Uganda inalinda huduma muhimu za afya wakati wa kukabiliana na mlipuko wa Ebola,General,
"sustaining accidental needle stick injuries, including among health workers.","kupata majeraha ya ajali ya kijiti cha sindano, pamoja na wafanyikazi wa afya.",General,
