English,Ekegusii,Domain,Kiswahili
"Women have a bigger role to play, have market access like men in agricultural wealth...(2020). To access agriculture markets and differences in feeds in Kenya.","abangina ngokora bare ase ensemo yoboremi, mbabwati ogosoa oboremi buna abasacha ase obonda bwoboremi. ... (2020), Gosoa echiro yoboremi na oborgeria ase oboagare aiga Kenya: ...",Agriculture,
Mothers and their young children are required to visit their health facilities to be tested 48 hours after delivery for medical care.,Abang'ina amo n'abana abake bagwenerete kogenda oborengi nyagitari chinsa 48 koru okoibora banyare korengwa erio korigia bobe bonde bwonsi na korotota okobwena kwa bwango.,Health,
"To achieve mental health for those living with disabilites is of great importance. Now, do you know any person who needs counselling? Send an SMS to ""support"" to 20767 so that you can connect with a counsellor free of charge.","Goikerania amag'ana yobobwenia ase abanto babwate oborema nokw'engencho mono. Inee, nomanyete monto onde oganetie oyo agokwanera? Toma riuko erienge ""support"" gochia 20767 erio onyore omosemia.",Health,
Building partnerships with counties strengthens accountability. Say no to graft.,Koagacha oboamate obuya gati yechikaonti nigo kogokong'ia obotenereri obuya. Kana obokengeka.,Security,
Discover appropriate times when you can supply milk from your dairy farm or eggs to (schools and hospitals) depending on their feeding program.,Rigia komanya chinagaki chingiya chireo as ase oboremi bwao bwechiombe chia'amabere giose ebiombe bibwatekaine nayio ase okoonia amagena echingoko chiao bwango kegima gochia (chisukuru na chuinyagitari ) ase omoroberio bwoborageria bwaobo.,Agriculture,
Climate smart agriculture (CSA) is an approach that helps to guide actions needed to transform and reorient agricultural systems to effectively support ...,Climate smart agriculture (CSA) is an approach that helps to guide actions needed to transform and reorient agricultural systems to effectively support ...,Agriculture,
The National Drugs Investigation has launched training for religious learder as a move to prevent self suicide,Ekeombe Ekenene Kiobotuki bwa Amariogo giachakirie amaegerio yamatemu ase abarai abanene bechidini ase ogotanga okweng'enta buna amasomo gokinia obongo,Health,
"TSC releases guidelines for recruiting 44,000 teachers on permanent terms.","Ekeombe ekene kia abarimu (TSC) yarure omoroberio buna okorikwa kwa abarimu 44,000 korabe bapamanenti.",Education,
"Make up a good agri business plan, incorporating irrigation or dairy farming . Learn basic tips and loans acquisition.",Rosia omoreberio omuya bwoboonchoreria bwoboremi bwao as ogosiarera amache gose omoremi bwechiombe chia amabere. Egera igor yechinsemo chibwenerete chiragokonye ase okonyora eroni yoboremi,Agriculture,
Announcement on educating people in the whole region on poor eating habits in the counties,Okoraria kwa amaegerio ase orogongo orogima erio gosegeta emeroberio yobobwenia ase ogotanga koragera orachi ase chikaunti,Health,
Detailed research done in Northern Nigeria with AATF and partners has borne great perspective among maize farmers .,"Obokongoria bwabeene bwakoretwe aria Irianyi ya Nigeria na AATF, na abamwabo mbwaorokerertie ng'a ogotareng'ana gati yomonto omosacha na okungu ase engencho yobogambi na ekemira igoro yoboremi bwabobuna nomochando omonene as oboremi bwebituma.",Agriculture,
"To attain market access and to support such institutional programs in a country is a central support..availability and grants on agricultural markets and insured agriculture . In County, priorities are taken seriously..","Goikera echiro yoboremi na gosira emeroberio yekeombe ekio kiogokonya oboremi. As ense, omoroberio ogati orengete gosira ...",Agriculture,
"Upgraded polio vaccine being administered. Some mothers complain of 'serious' symptoms. Ministry says symptoms, reactions are normal","Echancho ya polio engikeranu yarurwe Abangina bande bemurunganiri ase ebimanyererio 'ebibe' Ewizara yatebire, ebimanyererio nebia botambe",Health,
TVETA launches a mobile learning app providing access to tutorials and assessments for TVET students on the go.,Aborai bwekeombe keria ekenene getenerete chikorechi chiobobundi nechisemi chiokwegendereria TVETA lyaansire amasomo goetera egekoreri gieintaneti gekworokereria buan abarimu bakorenga abana namasomo abo ase TVET na kogenderera .,Education,
"A good sweet potatoes variety planted in Nakuru Kenya are eaten across East Africa. Maize has maintained as a core crop over time. However, it has been hit with diseases since then. This has brought about harvest losses and a threat to food security in Kenya. For this reason, from 2008, kenyan government decided to remove dependency on maize by adopting potatoes.","Embusuro engiya yamarabwoni agosimekwa aria Nakuru Kenya nigo akoriegwa Afrika ya mocha engima.Ebituma nabio endagera enene ase emiaka amagicho . Korende, oboremi obo ase engaki entambe bwebibituma bwagosirwe nendwari . Goetera endwari eye rigesa riebutuma riakeanire na igo komenta enhara. Ase igo, korwa omwaka 2008, borai bweserakari ya Kenya nogendereta korigwa endagera rika rie bituma na goikera oboremi bwa amarabwoni buna obwengencho.",Agriculture,
UNODC and Kenya partnership to enhance legal frameworks and build investigative capacity against terrorism.,Ekeombe kiobomo bwechinse chiria chikwegambera korwania amariogo agotindia (UNODC) goetera okobwaterana na Kenya mbabwateranete goikerania amachiko yokorwania obokebago na gokinia chinguru chiobotuki bwobokebago bwokoruta chipomu.,Security,
Kitale National Polytechnic introduces drone technology training.,Kitale National Polytechnic yachakire gosomia abana chisemi chiokogendia chindege chitari nomogendia (Drone).,Education,
AATF ( African Agricultural Technology Foundation) is a non profit making organisation with sensitization programs among small scale farmers in desert Africa.,AATF (African Agricultural Technology Foundation aiga Afrika nekemo kiebiombe getari korosia obaita aiga Afrika kegendereretie koereria chisemi as abaremi bemegondo emeke aiga Afrika yensemo enyomo,Agriculture,
"To differentiate, farming using CSA has three pillars: increase yields progressively, profitable produce and build resilience.","Ase ogoatanana, oboremi goetera CSA nigo borengete chisiro isato: kogesa rigesa ase enchera yokwegendereria nebitoki ebiya erio goikerania oboremi bwonchoreria as okonyora ebiitoki ebiya as abaremi na ogwetenenera.",Agriculture,
"Emplyers are able to know their employees suffering from mental problems when at work by obserbing their change in character, through absenteeism, non productivity or isolating from other workers","Abariki chigasi nabo bakonyara komanya ebiorokereri biobokong'u bwoborwaire bw'obongo ekero bare ase egasi ase okorora oboonchoreria bwebikoru biabo, buna okoriya emeremo, ogotaikerania emeremo buya gose kwerusanania korwa ase abokori emeremo bamwabo.",Health,
