English,Domain
Situation & EW Phase Classification Several places in the county received depressed and intermittent for a few days.,Disaster
This triggered further regeneration of pasture and browse and improved recharge of water sources.,Disaster
Most production and utilization indicators were within the normal season range retaining the drought phase classification at normal with improving trends.,Disaster
"Generally, the quantity of rains received on average was near to below normal at the same time of the year.",Disaster
Trekking distances to water points for domestic and livestock remained within seasonal range.,Disaster
Indicators (Impact Indicators) Production indicators Livestock body condition is generally fair across the livelihood zones.,Disaster
Milk production and consumption was above normal.,Disaster
There were no unusual livestock death cases reported.,Disaster
Utilization indicators Prevalence of children aged 12 – 59 months at risk of malnutrition was critical based on mid upper arm circumference.,Disaster
The copping strategy index (CSI) for households was within the normal seasonal range.,Disaster
Majority of households had acceptable and borderline food consumption scores.,Disaster
"Seasonally, April is typically the peak month of the long rains season.",Disaster
which was late by one dekad (10 days period).,Disaster
varied across the livelihood zones.,Disaster
The progression so far for the rains is poor with intermittent pattern.,Disaster
"According to the USGS (United State Geological Survey) data, indicated gradual progression of the rainfall amounts peaking in the middle of the month although reduced towards end of the month.",Disaster
"The amounts are above average for the second dekads only and below average for first and third dekads of the month, however, the amounts are more pronounced in the highlands compared to lowlands.",Disaster
"The rainfall estimates recorded during the month under review were 70 percent below average during the first dekad of April however, the amounts peaked to 585 higher than the long- term average in the second dekad of the month.",Disaster
It again reduced to 82 percent below average during the last 10 days of the month as per USGS satellite driven data (Figure 1).,Disaster
"Meteorological weather review for April 2025 indicated that areas bordering Laikipia County (Mukutani, Mochongoi) and Kisanana) bordering Nakuru County received 126 – 200 percent of the normal rainfall.",Disaster
Other areas of the county recorded varying rainfall amounts ranging between 78 – 125 percent of the normal rainfall (Figure 2) as the Kenya Meteorological climate outlook for May 2025 and Review of April 2025; REF.,Disaster
distribution in terms of time and uneven distribution in terms of space.,Disaster
County is characterized by both bushland and grasslands across the predominant livelihood zones.,Disaster
The rainfall received during the month of April and May 2025 had impacted positively on vegetation across the livelihood zones.,Disaster
It is worth noting that Baringo County is heavily infested with invasive plant species such Prosopis Juliflora particularly in areas surrounding Lake Baringo.,Disaster
These invasive plant species could be indicating higher vegetation greenness which is non palatable to livestock.,Disaster
Satellite derived data shows rapid improvement in vegetation greenness as depicted in normalized difference vegetation index (NDVI) in the figure 3 below.,Disaster
Normalized Difference Vegetation Index (NDVI) for the of March 2025 indicated steady improvement and was above the 2003 – 2022 years average as per the satellite driven imagery (Figure 3).,Disaster
"Pasture and Browse Condition Despite the rainfall received, there was limited vegetation greenness observed in several areas of the county, attributed to poor pasture regeneration.",Disaster
The current conditions are below average.,Disaster
remains in fair condition.,Disaster
"Around 63–78% of key community informants noted that the forage condition was fair, while 33% reported the pasture as poor.",Disaster
Only 4% and 15% of informants said that the pasture and browse were in good condition (Figure 4).,Disaster
Majority of households relied on open surface water sources for the month of March and April 2025.,Disaster
This is due to commencement of the long rains season that has so far been characterized intermittent and depressed storms.,Disaster
"During the month under review, households mainly depend on rivers, traditional water wells, and water pans for their domestic and livestock water needs.",Disaster
Some slight recharge was observed in open water sources in a few areas.,Disaster
"However, water turbidity was high due to surface runoff caused by soil erosion.",Disaster
"The proportion of households accessing water from rivers and traditional river wells increased to 25% and 28%, respectively, up from 21% and 25% recorded in March 2025.",Disaster
"Meanwhile, the proportion of households relying on pans and dams slightly decreased to 20% from 21% in the previous month.",Disaster
The use of other water sources remained relatively consistent with the figures recorded in the prior month (Figure 5).,Disaster
"In the reported month, the average household trekking distance was 3.6 km, reflecting a 10% decrease compared to the previous month.",Disaster
This distance is 20% below the long-term average.,Disaster
"Pastoral zone walked 3.3 km, and households in the Irrigated Cropping zone trekked only 1 km.",Disaster
"Water consumption at the household level remained low, ranging from 5 to 10 liters per person per day, which is significantly below the recommended SPHERE standards.",Disaster
"The average trekking distance for livestock from grazing areas to watering points was 5.4 km, which represents a slight decrease from the 5.7 km reported in February 2025.",Disaster
"sites, reaching up to 10 km to 8 km.",Disaster
distance is 32% lower (Figure 7).,Disaster
"rainfall expected to peak in May 2025, there is a likelihood of further forage rejuvenation and increased recharge of water sources.",Disaster
This is expected to further reduce the trekking distances between grazing fields and watering points.,Disaster
Body condition scoring (BCS) for cattle enables producers to evaluate the fat reserves of cows at different stages of production.,Disaster
"Most livestock owners (59%) indicated that their animals had a moderate body condition, neither fat nor thin this was an improvement as compared to 50% the previous month.",Disaster
"Meanwhile, 19% reported that their livestock displayed borderline conditions, with the fore ribs not visible but the 12th and 13th ribs visible a reduction in comparison to 37.5% previously.",Disaster
"Furthermore 22% noted that their livestock had a good, smooth appearance in terms of body condition.",Disaster
There was no livestock disease outbreak reported within the county.,Disaster
"However, livestock disease surveillance reports indicated existence of endemic cases of diseases such as Peste des petits ruminants (PPR), Contagious caprine pleuropneumonia (CCPP) were reported across the livelihood zones.",Disaster
No unusual livestock deaths were experienced within the period under review.,Disaster
average of 1.9 liters of milk per day.,Disaster
This marks a 27% increase compared to the previous month's average of around 1.5 liters per household per day.,Disaster
the remainder given to children under five years old.,Disaster
"Compared to the long-term average, the current daily milk production of 1.5 liters per household is 64% higher than the typical amount for this time of year (Figure 8).",Disaster
"During the month the crops in the Irrigated, mixed, Marginal mixed, and Agro pastoral livelihood zones are at knee high, and others are at weeding stage.",Disaster
"However, a few farmers are still planting their farms across the livelihood zones.",Disaster
4.0.0 MARKET PERFORMANCE 4.1.0 Livestock Marketing 4.1.1 Cattle Prices.,Disaster
Cattle selling prices have been slowly declining however it stabilizes compared to last month average price.,Disaster
The decline is attributed to low presence of external traders in main markets due to imperfect market operations coupled with road banditry.,Disaster
"observed, attributed to better nutrition from regenerating rangeland resources.",Disaster
"Currently, the average live weight retail price for a 3–4- year-old heifer or bull stands at Ksh 23,981, reflecting a two percent increase from the previous month's average of Ksh 23,489.",Disaster
