English,Ekegusii,Domain
"Every day, we are vulnerable to a new outbreak, disease, pandemic or virus. Recent ones include the Marburg virus, Mpox, Ebola, Zika and the nightmarish experience we faced during the Covid-19 pandemic.","Kera rituko, ntore ase obokong'u bwokonyora oborwaire obonyia,gose ogoateka Kwa oborwaire bonde bwensi .
 Chindwari chia ange iga ng'amo na Mpox, Ebola, Zika na obokong'u obobe twaetera engaki ya ogoateka Kwa COVID-19",Health
KNCHR tells of citizen engagement programs boosting security and human rights awareness in Kisumu County,Ekeombe keria ekenene gia Kenya kerendete oboronge bwa mwanyabanto (KNCHR) ngoteba bare igoro yemeroberio yokobwaterana buna yakong'irie oborendi na obomanyi igoro yoboronge bwa mwanayabanto aaria ekaonti ya Kisumu,Security
"Women have a bigger role to play, have market access like men in agricultural wealth...(2020). To access agriculture markets and differences in feeds in Kenya.","abangina ngokora bare ase ensemo yoboremi, mbabwati ogosoa oboremi buna abasacha ase obonda bwoboremi. ... (2020), Gosoa echiro yoboremi na oborgeria ase oboagare aiga Kenya: ...",Agriculture
"Announcement of influencer-led digital media campaign promoting self-care, destigmatization, and helpline awareness in mental wellness week.","Okoraria gwekampeni na eɓokoreri bia amangana ekoragwa nabanyene babwate riosa ase okwerenda aye omonyene, okonengetwa na obomanyi gwetera chisimi gati yomokubio bwogokinia obongo",Health
Sports academies must have policies against physical and sexual abuse of young athletes.,Aaria ase abanto bagosomera gokora chogosori goika babe namachiko agotanga gokorerwa bobe ekiagera eki ore gose ogotabatabwa ase abanyagosori abasae.,Security
Mothers and their young children are required to visit their health facilities to be tested 48 hours after delivery for medical care.,Abang'ina amo n'abana abake bagwenerete kogenda oborengi nyagitari chinsa 48 koru okoibora banyare korengwa erio korigia bobe bonde bwonsi na korotota okobwena kwa bwango.,Health
Teachers attend in-service training annually.,Abarimu ikerana ase omoroberio bwogoma nonya kore emeremo kera omwaka.,Education
Every child learns! Support refugee students in schools.,Kera omwana ngosoma are! Konya abana ba baria batamire chisegi korwa sobo gosoa chisukuru.,Education
Install security lights around your property to deter burglars.,Iboka chitaya chikomoreka buya ase enibo yao ere buna enchera eyemo yogotanga abaibi.,Security
"To achieve mental health for those living with disabilites is of great importance. Now, do you know any person who needs counselling? Send an SMS to ""support"" to 20767 so that you can connect with a counsellor free of charge.","Goikerania amag'ana yobobwenia ase abanto babwate oborema nokw’engencho mono. Inee, nomanyete monto onde oganetie oyo agokwanera? Toma riuko erienge “support” gochia 20767 erio onyore omosemia.",Health
