English,Kiswahili,Ekegusii,Domain
"Every day, we are vulnerable to a new outbreak, disease, pandemic or virus. Recent ones include the Marburg virus, Mpox, Ebola, Zika and the nightmarish experience we faced during the Covid-19 pandemic.","Kila siku, tuko katika hatari ya kupata mlipuko mpya, ugonjwa, janga au virusi. Vipya ni pamoja na virusi vya Marburg, Mpox, Ebola, Zika na tukio baya tulilokabiliana nalo wakati wa janga la Covid-19.","Kera rituko, ntore ase obokong'u bwokonyora oborwaire obonyia,gose ogoateka Kwa oborwaire bonde bwensi .
 Chindwari chia ange iga ng'amo na Mpox, Ebola, Zika na obokong'u obobe twaetera engaki ya ogoateka Kwa COVID-19",Health
KNCHR tells of citizen engagement programs boosting security and human rights awareness in Kisumu County,KNCHR inasimulia kuhusu programu za ushirikishwaji wa raia zinazoimarisha usalama na uhamasishaji wa haki za binadamu katika Kaunti ya Kisumu,Ekeombe keria ekenene gia Kenya kerendete oboronge bwa mwanyabanto (KNCHR) ngoteba bare igoro yemeroberio yokobwaterana buna yakong'irie oborendi na obomanyi igoro yoboronge bwa mwanayabanto aaria ekaonti ya Kisumu,Security
"Announcement of influencer-led digital media campaign promoting self-care, destigmatization, and helpline awareness in mental wellness week.","Tangazo la kampeni ya vyombo vya habari vya kidijitali inayoongozwa na watu wenye ushawishi inayokuza utunzaji binafsi, udhalilishaji, na ufahamu wa simu ya usaidizi katika wiki ya ustawi wa akili.","Okoraria gwekampeni na eɓokoreri bia amangana ekoragwa nabanyene babwate riosa ase okwerenda aye omonyene, okonengetwa na obomanyi gwetera chisimi gati yomokubio bwogokinia obongo",Health
Sports academies must have policies against physical and sexual abuse of young athletes.,Vyuo vikuu vya michezo lazima viwe na sera dhidi ya unyanyasaji wa kimwili na kingono wa wanariadha wachanga.,Aaria ase abanto bagosomera gokora chogosori goika babe namachiko agotanga gokorerwa bobe ekiagera eki ore gose ogotabatabwa ase abanyagosori abasae.,Security
Teachers attend in-service training annually.,Walimu huhudhuria mafunzo ya huduma kila mwaka.,Abarimu ikerana ase omoroberio bwogoma nonya kore emeremo kera omwaka.,Education
Every child learns! Support refugee students in schools.,Kila mtoto hujifunza! Wasaidie wanafunzi wakimbizi mashuleni.,Kera omwana ngosoma are! Konya abana ba baria batamire chisegi korwa sobo gosoa chisukuru.,Education
Install security lights around your property to deter burglars.,Weka taa za usalama kuzunguka mali yako ili kuzuia wezi.,Iboka chitaya chikomoreka buya ase enibo yao ere buna enchera eyemo yogotanga abaibi.,Security
Toolkit empowering communities to counter violent extremism under the NIWETU multi stakeholder initiative.,Kifaa cha kuwawezesha jamii kukabiliana na itikadi kali chini ya mpango wa NIWETU unaowashirikisha wadau wengi.,Egetabu kegosomia abanainchi buna baranyare gokinana nobokebago bwogosaria obongo goetera amasomo amabe inse yomoroberi o'NIWETU omoroberio bwabakoreri ao ao.,Security
"Stay alert, share your info with imposters. Report and block any suspicious accounts.","Kuwa macho, shiriki taarifa zako na wadanganyifu. Ripoti na uzuie akaunti zozote zinazotiliwa shaka.","Kaba maiso,sanga amanga ago nemekora",Governance
"The climate-smart management of orchards and plantations involves the efficient use of water and energy for husbandry operations, and the transportation and ...","Usimamizi wa bustani na mashamba unaozingatia hali ya hewa unahusisha matumizi bora ya maji na nishati kwa shughuli za ufugaji, na usafiri na ...","Oboremi boria bokoremereria ogosareka kwerire ase ase oboremi bwemegondo emenene yamatunda neganetie gotumia amache nechinguru buya chiomorero buya ase okoenana embego, amo nobobogoria amo...",Agriculture
