lexicon_id,English,Kiswahili,Ekegusii,source,dataset_origin
1,,jambo,amangʼana,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
2,,rafiki,omosani,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
3,,mtu,omonto,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
4,,watu,"abanto, abantu",Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
5,,mume,omosacha,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
6,,mke,omorugi,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
7,,mtoto,omwana,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
8,,baba,tata,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
9,,mzee,omonto omogotu,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
10,,kijana,oboke,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
11,,nyumba,enyomba,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
12,,maji,amache,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
13,,moto,"omorero, gwotirera",Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
14,,mti,omote,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
15,,ardhi,orogongo,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
16,,nchi,"ense yaito, ense enyomo",Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
17,,jua,"komanya, risase",Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
18,,mwezi,omotunyi,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
19,,mvua,embura,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
20,,ugali,obokima,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
21,,nyama,"engiti, enyama",Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
22,,maziwa,"orobere, amabere",Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
23,,ndizi,ritoke,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
24,,dawa,eriogo,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
25,,kichwa,omotwe,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
26,,mkono,okoboko,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
27,,mguu,okogoro,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
28,,jicho,eriso,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
29,,tumbo,ende,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
30,,moyo,enkoro,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
31,,kula,koria,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
32,,kunywa,konywa,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
33,,kutembea,gotara,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
34,,kuja,inchwo,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
35,,kuona,korora,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
36,,kujua,komanya,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
37,,kununua,kogora,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
38,,siku,rituko,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
39,,mwaka,omwaka,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
40,,usiku,botuko,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
41,,moja,eyemo,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
42,,mbili,ibere,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
43,,tatu,isato,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
44,,nne,inye,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
45,,tano,isano,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
46,,sita,isano nemo,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
47,,saba,isano naibere,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
48,,nane,isano na isato,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
49,,tisa,kianda,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
50,,kumi,ikomi,Dictionary,Online_Glosbe_Swahili_Ekegusii_Dictionary.csv
51,,Habari / Jambo,Omoiyo / Reroke,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
52,,Habari gani?,Bwairire naki? / Habari naki?,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
53,,Asante sana,Mbuya mono,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
54,,Karibu,Nchwo / Keria,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
55,,Kwaheri,Tigana buya / Genda buya,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
56,,Ndiyo,Eee / Yaani,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
57,,Hapana,Yaya / Yaye,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
58,,Tafadhali,Kaasero / Nkaasero,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
59,,Sijui,Tinimanyeti,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
60,,Unatoka wapi?,Ing’o orwaire?,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
61,,Jina lakutwa nani?,Rietwa riao ningo?,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
62,,Mtu,Omonto,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
63,,Watu,Abanto,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
64,,Mwanaume,Omosacha,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
65,,Mwanamke,Omokungu,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
66,,Mtoto,Omwana,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
67,,Watoto,Abana,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
68,,Baba,Tata,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
69,,Mama,Mama / Baba,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
70,,Kaka / Ndugu,Momura omwabo / Omonani,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
71,,Dada,Msubati omwabo / Mosubati,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
72,,Rafiki,Omosani,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
73,,Mwalimu,Omwalimu / Omworokia,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
74,,Mzee,Omugaka,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
75,,Kijana,Omomura,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
76,,Moja,Erimo,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
77,,Mbili,Ebere,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
78,,Tatu,Etato,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
79,,Nne,Ene,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
80,,Tano,Etano,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
81,,Sita,Etano na erimo (6),Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
82,,Saba,Etano na ebere (7),Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
83,,Nane,Enane / Etano na etato,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
84,,Tisini / Tisa,Kianda,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
85,,Kumi,Ikomi,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
86,,Mia moja,Rigana erimo,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
87,,Elfu moja,Ekerosio erimo,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
88,,Leo,Rero,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
89,,Kesho,Ankio,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
90,,Jana,Igoro,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
91,,Asubuhi,Mambia,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
92,,Mchana,Omobaso,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
93,,Jioni,Mogoroba,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
94,,Usiku,Obotuko,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
95,,Mwaka,Omwaka,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
96,,Mwezi,Omotienyi,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
97,,Maji,Amaache,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
98,,Moto,Omorero,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
99,,Mti,Omote,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
100,,Ardhi / Nchi,Ense,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
101,,Jua,Erioba / Omogaso,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
102,,Mvua,Embura,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
103,,Afya,Obochenu / Oboyamu,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
104,,Ugonjwa,Oborwaire,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
105,,Hospitali,Enyagitari / Sibitari,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
106,,Dawa,Omobao / Chindawa,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
107,,Kichwa,Omotwe,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
108,,Mkono,Omoboko,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
109,,Mguu,Ekegoro,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
110,,Jicho,Riso,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
111,,Tumbo,Ekeuno / Inda,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
112,,Moyo,Engoro,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
113,,Kula,Koria,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
114,,Kunywa,Gonywa,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
115,,Kulima,Korema,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
116,,Kusoma,Gosoma,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
117,,Kusema / Kuongea,Goteba / Gokwana,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
118,,Kutembea,Gotaara,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
119,,Kuja,Konchwo,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
120,,Kwenda,Gogenda,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
121,,Kuona,Korora,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
122,,Kujua,Komanya,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
123,,Kufanya,Gokora,Dictionary,Structured_Swahili_Ekegusii_Dictionary.csv
