concept_id,English,Ekegusii,source
134056,"I didn’t know that there were sparrows in the wall. My eyes were open and the sparrows dropped warm dung into my eyes, and white films came over my eyes. I went to the physicians, and they didn’t help me; but Achiacharus nourished me, until I went into Elymais.","Tinamanyete gose Chinchiro chiarenge kerama igoro ase naraire. Bono chinchiro echio chigansaera echabu yabo yarenge morero egasoa ase amaiso ane erio ebinto ebirabu bigasieka amaiso ane ngasinywa korora, erio nkagenda ase abarwaria ao ao korende onde taiyo onyarete gonkoonya na omoerio nkaba omouko ase emiaka ene ntari nkorora kende. Abaminto baganchandekera mono boigo na Ahika akandenda ase emiaka ebere erio akagenda Elamu.",ENG-EKE
110400,Saul was even more afraid of David; and Saul was David’s enemy continually.,"Ase ayio Saulo akoboa Daudi mono kobua, naende akaba omobisa oye kogenderera ase obogima bwaye bwonsi.",Trilingual-Bible
128926,"He said this to test him, for he himself knew what he would do.","Igo amoboretie aya, erinde amoteeme, ekiagera namanyete ere omonyene eki arakore.",Trilingual-Bible
142613,1. About the collection for the Lord’s people: do what I instructed the churches in Galatia.,Inki toratebe rende? Ibrahimu sokoro yaito as'engecho y'omobere inki anyorire?,ENG-EKE
144644,"The incident reportedly happened in the home of Asembo Boi Kasabong in Siaya County and involved several relatives. The suspect, Philister Arega, who claims to be a member of the Tin-to-Ler Women Group, denied the allegations leveled against her by Benter Akinyi's family, claiming they were falsely accusing Akinyi of theft and attempting to seize her property.","oboiti obo bwatigire ekenyoro kia Asembo Boi Kasabong ime ye ekaonti ya Siaya ase amaisugusu amange nyuma ya ababwatani be ekeombe eke ki’abang’ina. Nyagosira, Philister Arega, oyokabeire omorai ase Tin-to-Ler Women Group nigo aumerana na amakweri ase enka ya Benter Akinyiase bachiete na abarai bande gotema koonia enibo ya Akinyi’ erio koirania chibesa echio.",ENG-EKE
106658,"“Speak to Aaron, and tell him, ‘When you light the lamps, the seven lamps shall give light in front of the lamp stand.’”","“Teebia Aroni ng’a, ekero arabeeke chitaaya isano na ibere ase ekebekerero gie chitaaya, achibeeke erinde chimoreke gochia bosio.”",Trilingual-Bible
118497,"He will not be afraid of evil news. His heart is steadfast, trusting in Yahweh.","Ere takwoboa kagotebigwa amang’ana amabe, enkoro yaye nigo ere endemu esemeretie Omonene.",Trilingual-Bible
117156,They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.,"Barabwo tibari gosookigwa ase chingaki chi’amabe, ase chingaki chi’enchara nigo bakoigota.",Trilingual-Bible
100803,Safety guidelines for school reopening 2021.,Omoroberio omoikeranu gotanga obokongu ekero chisukuru chikoigora omwaka 2021.,PSA
144174,"They came together like ants after five days. Nyamisanchu continued to love her family and care for them. She saved money, and whenever these savings were enough, she would send the elder to buy things and bring them home.","Nigo begenete inga inkoboka are nyuma ya amatuko atano. Nyamisanchu tachia kogokigwa na okorendwa kwo oboina. Akaenga amarwa, na ekero amarwa aya ayiete, agatebia omogaka oye agende gotimoka gakonya kwegokia na amarwa ere arende oboina.",ENG-EKE
119105,but these lay in wait for their own blood. They lurk secretly for their own lives.,"Abanto abwo nigo bakoboera goitera amanyinga abo abanyene, na koumokera obogima bwabo abanyene.",Trilingual-Bible
114371,Joash did that which was right in Yahweh’s eyes all the days of Jehoiada the priest.,Yoashi agakora ayare amaronge ase amaiso ’Omonene ase amatuko onsi Yehoyada Omokuani arenge moyo.,Trilingual-Bible
