step,train_loss,val_loss
500,2.279736,2.313821
1000,2.082058,1.966869
1500,1.766096,1.719539
2000,1.575058,1.542331
2500,1.398892,1.410071
3000,1.331199,1.306918
3500,1.310360,1.219324
4000,1.150697,1.157237
4500,1.049091,1.105128
5000,1.109385,1.068976
5500,1.089268,1.023131
6000,0.841665,1.005493
6500,0.822391,0.987754
7000,0.815758,0.962633
7500,0.802090,0.940266
8000,0.811332,0.912986
8500,0.844290,0.892095
9000,0.751329,0.868641
9500,0.759031,0.844365
10000,0.789027,0.823543
10500,0.740388,0.800989
11000,0.764671,0.779192
11500,0.526057,0.791352
12000,0.494472,0.778729
12500,0.499172,0.764832
13000,0.483343,0.752095
13500,0.513310,0.735794
14000,0.482144,0.720845
14500,0.461759,0.700090
15000,0.507155,0.684858
15500,0.423645,0.669186
16000,0.458656,0.653678
16500,0.422243,0.632361
17000,0.245356,0.665471
17500,0.255760,0.655374
18000,0.224689,0.648534
