Experiment,Direction,SacreBLEU,chrF++,Lexical_Accuracy
E0_Baseline,English->Ekegusii,0.08,12.96,0.0
E0_Baseline,Ekegusii->English,0.5,16.22,0.0
E10_Model_A_English_Swahili,English->Ekegusii,1.26,14.77,0.0
E10_Model_A_English_Swahili,Ekegusii->English,3.38,21.54,0.0
E10_Model_B_English_Ekegusii,English->Ekegusii,15.58,41.98,0.0
E10_Model_B_English_Ekegusii,Ekegusii->English,28.95,45.36,0.0
E10_Model_C_Swahili_Ekegusii,English->Ekegusii,6.17,32.93,0.0
E10_Model_C_Swahili_Ekegusii,Ekegusii->English,1.43,14.6,0.0
E1_English_Ekegusii,English->Ekegusii,16.28,42.94,0.0
E1_English_Ekegusii,Ekegusii->English,29.5,44.93,0.0
E2_Swahili_Ekegusii,English->Ekegusii,6.17,32.93,0.0
E2_Swahili_Ekegusii,Ekegusii->English,1.43,14.6,0.0
E3_Bilingual,English->Ekegusii,14.96,41.72,0.0
E3_Bilingual,Ekegusii->English,26.38,44.95,0.0
E4_Trilingual,English->Ekegusii,12.96,39.45,0.0
E4_Trilingual,Ekegusii->English,21.48,39.67,0.0
E5_Full_Resources,English->Ekegusii,16.04,42.49,0.0
E5_Full_Resources,Ekegusii->English,23.01,42.11,0.0
E6_Lexical_Augmentation,English->Ekegusii,14.21,40.53,0.0
E6_Lexical_Augmentation,Ekegusii->English,23.34,41.84,0.0
E7_Curriculum_Learning,English->Ekegusii,15.74,41.1,0.0
E7_Curriculum_Learning,Ekegusii->English,23.27,41.1,0.0
E9_Sequential_Transfer,English->Ekegusii,0.08,12.96,0.0
E9_Sequential_Transfer,Ekegusii->English,0.5,16.22,0.0
