Step,Training_Loss,Validation_Loss
500,2.170261,2.205521
1000,1.834283,1.833356
1500,1.651181,1.578704
2000,1.357284,1.411089
2500,1.284753,1.268902
3000,1.159111,1.162926
3500,1.087141,1.079067
4000,1.059775,1.020750
4500,0.996516,0.973664
5000,0.768075,0.941619
5500,0.776007,0.911856
6000,0.771680,0.884801
6500,0.723154,0.852625
7000,0.790047,0.824689
7500,0.719419,0.801936
8000,0.735923,0.771979
8500,0.664044,0.748775
9000,0.678096,0.719569
9500,0.637920,0.696739
10000,0.396735,0.700308
10500,0.430297,0.686273
11000,0.457236,0.666869
11500,0.411238,0.651481
12000,0.405532,0.633378
12500,0.403784,0.613822
13000,0.361836,0.597194
13500,0.379652,0.575020
14000,0.356016,0.555197
14500,0.163050,0.577670
15000,0.180077,0.567354
15500,0.177401,0.561242
