swahili,ekegusii,source
jambo,amangʼana,Glosbe Online Dictionary
rafiki,omosani,Glosbe Online Dictionary
mtu,omonto,Glosbe Online Dictionary
watu,"abanto, abantu",Glosbe Online Dictionary
mume,omosacha,Glosbe Online Dictionary
mke,omorugi,Glosbe Online Dictionary
mtoto,omwana,Glosbe Online Dictionary
baba,tata,Glosbe Online Dictionary
mzee,omonto omogotu,Glosbe Online Dictionary
kijana,oboke,Glosbe Online Dictionary
nyumba,enyomba,Glosbe Online Dictionary
maji,amache,Glosbe Online Dictionary
moto,"omorero, gwotirera",Glosbe Online Dictionary
mti,omote,Glosbe Online Dictionary
ardhi,orogongo,Glosbe Online Dictionary
nchi,"ense yaito, ense enyomo",Glosbe Online Dictionary
jua,"komanya, risase",Glosbe Online Dictionary
mwezi,omotunyi,Glosbe Online Dictionary
mvua,embura,Glosbe Online Dictionary
ugali,obokima,Glosbe Online Dictionary
nyama,"engiti, enyama",Glosbe Online Dictionary
maziwa,"orobere, amabere",Glosbe Online Dictionary
ndizi,ritoke,Glosbe Online Dictionary
dawa,eriogo,Glosbe Online Dictionary
kichwa,omotwe,Glosbe Online Dictionary
mkono,okoboko,Glosbe Online Dictionary
mguu,okogoro,Glosbe Online Dictionary
jicho,eriso,Glosbe Online Dictionary
tumbo,ende,Glosbe Online Dictionary
moyo,enkoro,Glosbe Online Dictionary
kula,koria,Glosbe Online Dictionary
kunywa,konywa,Glosbe Online Dictionary
kutembea,gotara,Glosbe Online Dictionary
kuja,inchwo,Glosbe Online Dictionary
kuona,korora,Glosbe Online Dictionary
kujua,komanya,Glosbe Online Dictionary
kununua,kogora,Glosbe Online Dictionary
siku,rituko,Glosbe Online Dictionary
mwaka,omwaka,Glosbe Online Dictionary
usiku,botuko,Glosbe Online Dictionary
moja,eyemo,Glosbe Online Dictionary
mbili,ibere,Glosbe Online Dictionary
tatu,isato,Glosbe Online Dictionary
nne,inye,Glosbe Online Dictionary
tano,isano,Glosbe Online Dictionary
sita,isano nemo,Glosbe Online Dictionary
saba,isano naibere,Glosbe Online Dictionary
nane,isano na isato,Glosbe Online Dictionary
tisa,kianda,Glosbe Online Dictionary
kumi,ikomi,Glosbe Online Dictionary
