Kiswahili,Ekegusii
Habari / Jambo,Omoiyo / Reroke
Habari gani?,Bwairire naki? / Habari naki?
Asante sana,Mbuya mono
Karibu,Nchwo / Keria
Kwaheri,Tigana buya / Genda buya
Ndiyo,Eee / Yaani
Hapana,Yaya / Yaye
Tafadhali,Kaasero / Nkaasero
Sijui,Tinimanyeti
Unatoka wapi?,Ing’o orwaire?
Jina lakutwa nani?,Rietwa riao ningo?
Mtu,Omonto
Watu,Abanto
Mwanaume,Omosacha
Mwanamke,Omokungu
Mtoto,Omwana
Watoto,Abana
Baba,Tata
Mama,Mama / Baba
Kaka / Ndugu,Momura omwabo / Omonani
Dada,Msubati omwabo / Mosubati
Rafiki,Omosani
Mwalimu,Omwalimu / Omworokia
Mzee,Omugaka
Kijana,Omomura
Moja,Erimo
Mbili,Ebere
Tatu,Etato
Nne,Ene
Tano,Etano
Sita,Etano na erimo (6)
Saba,Etano na ebere (7)
Nane,Enane / Etano na etato
Tisini / Tisa,Kianda
Kumi,Ikomi
Mia moja,Rigana erimo
Elfu moja,Ekerosio erimo
Leo,Rero
Kesho,Ankio
Jana,Igoro
Asubuhi,Mambia
Mchana,Omobaso
Jioni,Mogoroba
Usiku,Obotuko
Mwaka,Omwaka
Mwezi,Omotienyi
Maji,Amaache
Moto,Omorero
Mti,Omote
Ardhi / Nchi,Ense
Jua,Erioba / Omogaso
Mvua,Embura
Afya,Obochenu / Oboyamu
Ugonjwa,Oborwaire
Hospitali,Enyagitari / Sibitari
Dawa,Omobao / Chindawa
Kichwa,Omotwe
Mkono,Omoboko
Mguu,Ekegoro
Jicho,Riso
Tumbo,Ekeuno / Inda
Moyo,Engoro
Kula,Koria
Kunywa,Gonywa
Kulima,Korema
Kusoma,Gosoma
Kusema / Kuongea,Goteba / Gokwana
Kutembea,Gotaara
Kuja,Konchwo
Kwenda,Gogenda
Kuona,Korora
Kujua,Komanya
Kufanya,Gokora
Kununua,Gogoora
Kuuza,Goonia
Chakula,Endagera
Ugali,Obokima
Mboga,Chinyeni
Nyama,Enyama
Maziwa,Amabere
Ndizi,Ematoke
Mahindi,Ebibori / Amabori
Shamba,Omogunda
Mbolea,Esamani
jambo,amangʼana
rafiki,omosani
mtu,omonto
watu,"abanto, abantu"
mume,omosacha
mke,omorugi
mtoto,omwana
baba,tata
mzee,omonto omogotu
kijana,oboke
nyumba,enyomba
maji,amache
moto,"omorero, gwotirera"
mti,omote
ardhi,orogongo
nchi,"ense yaito, ense enyomo"
jua,"komanya, risase"
mwezi,omotunyi
mvua,embura
ugali,obokima
nyama,"engiti, enyama"
maziwa,"orobere, amabere"
ndizi,ritoke
dawa,eriogo
kichwa,omotwe
mkono,okoboko
mguu,okogoro
jicho,eriso
tumbo,ende
moyo,enkoro
kula,koria
kunywa,konywa
kutembea,gotara
kuja,inchwo
kuona,korora
kujua,komanya
kununua,kogora
siku,rituko
mwaka,omwaka
usiku,botuko
moja,eyemo
mbili,ibere
tatu,isato
nne,inye
tano,isano
sita,isano nemo
saba,isano naibere
nane,isano na isato
tisa,kianda
kumi,ikomi
