english,ekegusii
Abanto 52 people tested positive for Covid 19,Abanto 52 nigo batokire babwate oborwaire bwa Covid 19
abanto 52 people tested positive for Covid 19 yesterday with 1161 total cases so far.,abanto 52 nigo batokire babwate oborwaire bwa Covid 19 iase rituko erimo riaetire na koirera omobaro bwabanto babwate oborwaire obwo koba 1161.
The Minister of Health Mutahi Kagwe said the case was confirmed in the Kibra area of Nairobi Kibra area.,omowaziri bwobochenu Mutahi Kagwe nigo atebire buna oborwaire obwo nigo bwamentekaire ase ensemo ya kibra aiga nairobi Kibra area .
"The situation with crime in Baltimore has become quite serious, according to reports from CNN with Brian Todd. Yesterday, there was another shooting incident involving young people, and authorities are investigating what led to this latest act of violence.",Chinsemo chinde chia Baltimore ya bosongo nigo bono yarorokanire buna egetii kia esegi koreng’ana na omosaki Brian Todd so CNN. Emerero emeke nabo yarorekana rituko ria tichi kabere ekenyanchuge na abamenyi gokuruma enigo korwa ase chinyomba chia oboonchoreria emechie bogeka.
"These incidents occurred near the Gilmor Homes in Baltimore, an area known for its high levels of poverty and crime.","Amaagacho ande abwatire omorero aaria Baltimore ase akorokwa Gilmor Homes, ase obomenyo boburukaine bosongo ya Baltimore."
The seedlings need shade,Ekiage ki’amariko onsi
This plant thrives well in the climate of Ekegusii Botanical Garden.,Aiga nonyore omariko onsi ime ya Botanix arikire ase Ekegusii.
Category: Vegetable seeds for planting,Category: Amachiko igoro y’ogosimeka ebimeri
These vegetable seeds are available,Amachiko buna ebimeri bigosimekwa
Ensure sufficient moisture and fertilizer for good growth. The ideal temperature range is 20–25 °C and humidity 2–6.,Otakeire ogese chintetere chinkendu konyara komera buya. Ineka chintetere ase amache abwate riberera goika 20–25 °C ase chinsa 2–6.
Continue: 1-1 Go to the top of the archive,Continue: 1-1 Go to the top of the archive
Minto FM: They said today that women's groups are preparing to support their candidates fully this year.,Minto FM: Kera omonto nabwate ribaga ase obora bwechinsemo ao ao ime yense
The association of women candidates (Kenya Women Candidates Association) has announced that they will support women's groups fully this year.,Omokonyi bwomonyakerogo bwekiombe gia kia Abasubati bakorigia amabaga yoborai (Kenya Women Candidates Association) Otebiri Ng’a kera omonto nabwate ribaga ase obora bwechinsemo ao ao ime yense.
It was reported that there is enough time for people Bwakire and Evans Makori to prepare for the upcoming election campaign.,Nigo arenge koyakwana ime yomoroberio o’minto Bwakire na Evans Makori eng’era Ya Inanirituko ria rero.
Minto FM: The situation with the politics of the Kenyan electricity company,Minto FM: Richiko na siasa chie Ebiama ime ya Kenya
"The politics of the electricity company are currently being discussed extensively. The country is facing a crisis where electricity bills are increasing rapidly, causing concern among citizens and various interests. Lawyer Ken Nyaencha Ngosanga has also been involved in the issue of the electricity company and the politics of the Kenyan electricity company.",Siasa chie ebiama nigo chigendererete kobwata nse. Richiko ndireo erio rikwerera buna ebiama bibwenerete gokora egasi asengencho yo’gotiotereria oborai obuya na amagenderero. Omowakili Ken Nyaencha Ngosanga are amo naintwe igoro ye richiko rie ebiama na siasa chie ebiama ime ya Kenya
Minto FM: Effects of Covid -19 on higher learning,Minto FM: Effects of Covid -19 on higher learning
"The impact of Covid – 19 has greatly affected education, and studies have been disrupted a lot. The impact has been felt in colleges and universities. This issue has caused many students to drop out. Ogato Orina, a student of communication and media, says the situation has worsened for those pursuing higher education.","Korwa buna oborwaire bwa Covid – 19 bwasoete ense yaito, amasomo nigo atenenete rimo rioka. Korwa abaorokigwa be ebirasi ebike goika chi -college amo ne chi University. Korwa erio amange abeire gakoenekigwa. Orina Ogato, nomworokia ase amasomo a igoro,(Communication and media), nigo agotoerera emechando ereo ase amasomo a higher leaning."
Residents are protesting roads,Abagichora bangire epara
"Nyamira County's Bogichora ward residents have united to protest the Tente-Marindi-Kenyorora road, claiming its poor state hinders development",Abamenyi be wadi ya Bogichora ekaunti ya Nyamira anene mono baria bagoetera epara ya Tente-Marindi-Kenyorora baemurunganiri igoro yemeremo yomonyakonda okogacha epara eyio bagoteba buna teri goeteka
"They met with Ngesa FM presenter Elijah Bwoma, demanding the road be repaired before the rains begin",bagokwana negesa fm bakoraua na Elijah Bwoma nigo batebire buna epara eyio nigo esaregete nonya yaagachwa eiki yaeta
They also requested Governor John Nyagarama to intervene so the road can be fixed permanently,nigo bono bamoboriri omogavana bwekaunti eyio John Nyagarama goesoyia gati erio koenekia buna nkoagachwa ere buna ebwenerete
Today we talk about this,Ekiage ki’amariko onsi
This information concerns the use of Botanix products in Ekegusii.,Aiga nonyore omariko onsi ime ya Botanix arikire ase Ekegusii.
Category: Traditional medicine and herbs,Category: Ebimeri bi’amache na nyancha
This explains how to use traditional medicine and herbs,Amariko igoro y’ogosimeka ebimeri bia amache na nyancha
Boindi Lotus Flower,Egesicha Lotus ya Boindi
The Boindi Lotus (Nelumbo nucifera) is a medicinal plant that grows in muddy areas within herbs. Its leaves are large and can reach up to several centimeters in size when used in medicine.,Lotus ya Boindi (Nelumbo nucifera) nigo ere ekemeri ki’amache ekiya mono n’amato machani agocheng’enena ase amache. Amaoga amabariri agotoka ase amatina amanetu agotira chisentimita chinyinge igoro y’amache.
"Today is Sunday. Yes indeed. My heart is happy. I will eat sweet potatoes tomorrow. Bananas and meat. Let us respect elders. The youths who post on Youtube are also important to the Gusii people. Good news. Tomorrow I will look at the website and see what is new. They say things should be done well. Remember my friends and help me carry sweet potatoes which are important. Anyone who forgets good deeds from last year, they are foolish. Kenya is developing.","Igaa ni Irongo. Eee bono. Magokoro okanire. Nigo ateba inga ebisukari. Amatoke amo ne chinkara. Bionsi bibekwe irongo. Amang'ana are muhimu ase Abagusii korwa Youtube nao are irongo. Amang'ana amakoro. Sokoro nigo atebete inga ewebusaiti eye yaansire koba siloo. Agateba inga ebinto binde bibekwe kiage. Rakini magokoro akamwebereria na komotebia inga tiga ebisukari ebio bibekwe irongo. Onye gotagete kororora amangana amayia abete omwaka oria, aye genda irongo. Kenya egenderere."
These are the news:,Aya amwabo aya:
"The meeting that was planned has been postponed. That person is Christopher Monyoncho. The big gathering of the Gusii people is happening there which is known as the River of Ebasweti. A large story is being told, a sad story. Welcome to come and see this sad story with a small child, Father Virus and White dog of the moon…Until Bosongo Seito. Sweet mothers exist. Seito Bosongo is hot. Finish.","Chingiti chintagani nigo chiaigorete amakori. Chingiti buna Omosike Christopher Monyoncho. Engongo enene ya Gusii naende eyio emanyire buna Riiyo rie Ebasweti. Ororeri oronene rwaereria ororeri oroke. karibuni koumera omosae bwo ororeri oroke naende omwana omino, Papa Virusi amo na Bwanchi mbwa mweri...Mpaka Bosongo Seito. amatera amansu bori. Seito Bosongo is hot. Egokie."
These are the things:,Aya amwabo aya:
"Seek advice from wise people who understand well. Seek help always and remember God the Creator who cares for his children greatly. Greet the people of Mwamoigusii and their many children of Mwanyagetinge, Merry Christmas 2011 courtesy of Gusii.com.","Tiga amandasi amo n' obosontoto boichore. Tiga tooche aamo na goakera Omonene Tata Nyasae ng'a mbuya mono ase ogotoikia ase chingaki buna echi. Gochia ase Mwamoigusii amo n' abana bonsi b' Mwanyagetinge babeta, Merry Christmas 2011 korwa ase Gusii.com."
"The child of Mwanyagetinge, going around and praising Gusii, namely John Arisi O Sababu and Engaki Yesuguku. Enjoy","Omwana o Mwanyagetinge, naende eng'ong'o ende enene y' Gusii, omosike John Arisi O Sababu oyio n' Engaki Yesuguku. Enjoy"
Minto FM: Governor Maangi addresses the Gusii people on development and ongoing projects.,Minto FM: Maangi oboririe abagusii mbaaba na ebiama ebinge bia gesiasa
