English,Kiswahili,Ekegusii,Domain
"Long long ago people didnt know anything. They didnt know how to plant crops, or how to weave cloth, or how to make iron tools. The god Nyame up in the sky had all the wisdom of the world. He kept it safe in a clay pot.","Hapo zamani za kale, watu hawakujua chochote. Hawakujua kupanda mimea, hawakujua kushona nguo, wala hawakujua kuunda zana za chuma. Nyame, mungu aliyekuwa mbinguni, ndiye aliyekuwa mwenye hekima zote za dunia. Alihifadhi hekima hiyo kwenye chungu cha udongo.","Igabwo kare kare banto tibamanyete kende. Tibamanyete gosimeka endagera, gose gosona yanga, gose korosia ebinto korua ase chichuma. Nonya nigo nyasaye orenge korokwa Nyame narengeoo gotatiga amenyete igoro ase rise naende nigo abwate obong’aini bwensi bwense. Nigo agachete obong’aini obo ase enyongo.",Literature
"One day, Nyame decided that he would give the pot of wisdom to Anansi. Every time Anansi looked in the clay pot, he learned something new. It was so exciting!","Siku moja, Nyame aliamua kumpa Anansi chungu hicho cha hekima. Kila Anansi alipotazama ndani ya chungu cha udongo, alijifunza jambo jipya. Alifurahi sana!","Rituko erimo, Nyame akaamua koenana enyongo eria y’obong’aini gosia ase Anansi. Kera engaki Anansi arigereretie enyongo eria, nigo arenge kweegeria egento ekeyia. Nero nigo yare komorentera omogoko omonge.",Literature
"Greedy Anansi thought, Ill keep the pot safe at the top of a tall tree. Then I can have it all to myself! He spun a long thread, wound it round the clay pot, and tied it to his stomach. He began to climb the tree. But it was hard climbing the tree with the pot bumping him in the knees all the time.","Anansi mlafi alinongona moyoni, Nitakificha chungu hiki juu ya mti mrefu ili nikifaidi mwenyewe. Akasokota uzi mrefu na kuuzungusha kwenye chungu. Kisha, akajifunga tumboni. Akaanza kupanda kwenye mti. Lakini ilikuwa vigumu kupanda kwenye mti huku chungu kikimgonga magotini kila mara.","Rakini Anansi nigo arenge omong’iti nokoba igo akarengereria, “Tiga nkache enyongo eye igoro y’omote omotaambe, ase onde bwensi atayenyore. Erio nario ndanyore enyongo eye ebe eyane inche bweka!” Akamina amakengo akarosia engori naboigo agasiba engori eria ase enyongo eria. Koruoo agesiba engori eria ase ekeuno kiaye, erinde enyongo eria egasugunana bosio bwaye, erinde agachaka korina omote oria.",Literature
"All the time Anansis young son had been standing at the bottom of the tree watching. He said, Wouldnt it be easier to climb if you tied the pot to your back instead? Anansi tried tying the clay pot full of wisdom to his back, and it really was a lot easier.","Wakati huo wote, mwanawe alikuwa amesimama chini ya ule mti akimtazama baba yake. Akamwambia, Baba, si ingekuwa rahisi kupanda endapo ungekifungia chungu mgongoni? Basi Anansi akajaribu kukifungia chungu kilichojaa hekima mgongoni mwake, na kweli ikawa rahisi zaidi.","Rakini korina omote oria n’enyongo eria ekaba obokongu asengencho enyongo nigo yarenge konyakomotwomera amaru aye kera engaki. Anansi agachaka kogechiwa mono nenyongo eria yarenge komoara, amo n’omoroso. Engaki eye yonsi omwana bw’Anansi nigo akengerete korwa nse yomote oria, amorigereretie buna akorina. Akamotebia, ‘Naki yarenge koba bwororo kware korina omote oyio gosibete enyongo eyio ase omogongo oo ribaga ri’ekeuno?” Erio Anansi agatema gosiba enyongo eria yabwate obong’aini mogongo oye, akanyora buna nigo yarenge bwororo mono korina omote oria.",Literature
"In no time he reached the top of the tree. But then he stopped and thought, Im supposed to be the one with all the wisdom, and here my son was cleverer than me! Anansi was so angry about this that he threw the clay pot down out of the tree.","Punde tu alifika juu ya mti, aliwaza, Natakiwa kuwa ndiye mwenye hekima zote, lakini hapa mwanangu ndiye mwenye akili kuliko mimi. Anansi alikasirishwa sana kiasi kwamba alikitupa kile chungu chini ya mti.","Eyio ekagera akairina omote oria mbaka igoro bwango sana. Rakini agatenena nakorengereria, “Ninche bweka mbwenerete gotwara obong’aini bwensi, na igaa omwawa oyo one nigo ang’ainia kombua!”",Literature
"It smashed into pieces on the ground. The wisdom was free for everyone to share. And that is how people learned to farm, to weave cloth, to make iron tools, and all the other things that people know how to do.","Chungu kilivunjika vipandevipande pale chini. Hekima zikawa za bure kwa mtu yeyote kujichukulia. Na hivyo ndivyo watu walivyojifunza kulima, kushona nguo, kuunda zana za chuma, na mambo yote mengine ambayo watu wanajua kuyafanya.","Enyongo erai egaateka ebisanda ekaba ebiminyore ebinge nse yomote oria. Nabo igo bono abanto besometie okorema, ogosona chiyanga n’ebinto bionsi abanto bamanyete rero.",Literature
"Long long ago when the earth was new, great mountains covered the world like a blanket, and tall trees spiked the sky.","Hapo zamani za kale dunia ilipokuwa mpya, milima mikubwa ilifunika ulimwengu kama blanketi. Nayo miti mirefu ilichongoka mawinguni.","Abwo kare kare ekero riroba riarenge rinyia, ebitunwa ebinge nigo biatubete ense eye buna oborangeti, nemete emetambe nigo yabetete erioba.",Literature
"In this world, there was a deep dark pool, silent and cold.",Duniani palikuwa na dimbwi kubwa la maji baridi shadidi na lililotulia tuli. Kina chake kilikuwa kirefu na liligubikwa na giza totoro.,"Ase ense eye, engoro nere yabwate amache, amatoereru, naende amakendu.",Literature
"At the bottom of this pool were two snakes. One had thick strongly patterned coils, and the other was smaller and more delicate.",Kwenye sakafu ya dimbwi hilo paliishi nyoka wawili. Mmoja alikuwa mnene na mwenye nguvu. Na mwengine alikuwa na umbo dogo la kuvutia na dhaifu.,"NSe yamache aya, ching’iti ibere inchiamenyete aroro. Eyemo nigo yabwate emeringori emekong’u, neria yende nigo yarenge enke naende engusu.",Literature
"Then one day, there was a great storm. A flash of lightning pierced right to the bottom of the pool. The waters parted for a moment. The snakes saw the earth above, full of colours and shapes and feathered creatures. When the waters closed again, the snakes could not forget the beauty they had seen.","Basi siku moja pakatokea dhoruba kubwa. Radi ilipiga na kupenya hadi chini ya dimbwi. Maji yakagawika kwa muda mfupi, wale nyoka wakaweza kuona ardhi kule juu. Waliona vitu vya rangi nyingi na vyenye maumbo tofauti tofauti. Waliona viumbe wenye mbawa angani. Kila kitu walichoona ardhini kilivutia sana.","Bono rituko erimo, embura enene egatwu. Enkoba akabara mbaka nse yengoro eria yarenge namache. Amache akabagana ase chingaki nke igo. Ching’iti chiria chikarora riroba igoro yabo ribwate chirangi ao ao amo nemenyama yende yabwate amarionya. Ekero amache aria airanete amo naende, ching’iti chiria tichichieti kweba obuya boria chiaroche igoro yabo.",Literature
