English,Domain
Civilian firearms circulation in borderland and peripheral areas is difficult to monitor and quantify.,Security
"Existing approaches often struggle to capture how firearms move through informal systems over time, particularly in environments shaped by cross-border flows, mobility, and localized security dynamics.",Security
Our Briefing Paper Monitoring Civilian Firearms in Borderlands: A Framework for Trend Analysis and Estimation introduces a practical approach for monitoring directional change in civilian-held firearms.,Security
"Rather than attempting to count weapons directly, it focuses on identifying local circulation patterns and producing informed estimate ranges grounded in observable indicators.",Disaster/Health
"The approach was recently tested in Northern Kenya, as explained in this related blog post , and is intended to support more adaptive and locally informed responses to civilian firearms dynamics.",Security
"Executive Summary The escalation of conflict between Iran and Israel generated significant concern regarding global oil markets, maritime trade routes, commodity prices and humanitarian supply chains.",Disaster/Health
"Given Kenya's reliance on imported petroleum products and an already constrained humanitarian operating environment, the NGO Refugee Group (NRG) undertook a rapid assessment to understand the realized impacts of the crisis on humanitarian operations supporting refugees and host communities across Kenya.",Disaster/Health
"The assessment received responses from ten NRG member organizations operating in Dadaab, Kakuma, Kalobeyei, Nairobi and the wider refugee-hosting and border areas, including Mandera, Lodwar and the Turkana border sub-counties of Kibish and Lokichogio.",Disaster/Health
The findings indicate that the severe supply chain disruptions initially anticipated have not materialized.,Disaster/Health
"What has occurred instead is a substantial and sustained increase in the cost of humanitarian delivery, which has now begun to affect the volume and reach of assistance provided.",Disaster/Health
The scale of the cost increase is itself a significant finding.,Disaster/Health
"All responding organizations (100%) identified fuel prices and transport and logistics costs among the impacts they have experienced, and 90% recorded a measurable increase in fuel costs since April.",Disaster/Health
"Half of respondents reported increases of between 15 and 30 per cent, and one organization reported an increase exceeding 30 per cent.",Disaster/Health
"One respondent reported generator fuel rising from KSh 178 to KSh 266 per litre, an increase of approximately 49 per cent, while another reported a quarterly fuel budget exhausted within six weeks.",Governance
"For organizations operating under grant budgets agreed before April, increases of this magnitude represent a material reduction in what those budgets are able to deliver.",Governance
"Fuel availability has emerged as a constraint alongside price. 60% of respondents reported rationing, shortages or supplier delays, concentrated in Kakuma, Dadaab, Lodwar and Mandera.",Disaster/Health
"One organization reported complete non-availability in Dadaab, where it currently has no vehicle in operation.",Disaster/Health
"These pressures have begun to affect programme delivery. 80% of organizations reported field movements reduced, rescheduled or pooled, and 60% reported activities scaled down or suspended.",Disaster/Health
"This represents a change from the previous assessment, in which organizations were largely absorbing cost increases through operational efficiency without reducing delivery.",Disaster/Health
What has been reduced matters as much as how much.,Disaster/Health
"The activities scaled down or suspended include protection, border and detention monitoring; health and nutrition outreach in the border sub-counties of Kibish and Lokichogio, reduced by half; community health services in Kalobeyei, reduced from daily to twice weekly; home visits and counselling sessions in Kakuma; and field monitoring visits by technical teams.",Health
Every one of these requires staff to travel out to people.,Disaster/Health
"No organization reported cutting a clinic, a distribution point or any other service delivered from a fixed site.",Health
"In effect, organizations have protected the services people come to and cut the services that go to people — and it is the latter that reach households who cannot travel, and that identify need before it arrives at a service point.",Disaster/Health
"Financial pressure is compounding these effects. 70% of respondents reported that exchange rate volatility is affecting operations and 60% reported budget pressure, while 40% reported existing grants under review or paused.",Governance
"Notably, only 10% reported new funding constraints communicated by donors, indicating that the principal problem is not the withdrawal of funding but the erosion of its value.",Disaster/Health
"Among the five organizations delivering cash or voucher assistance, all reported erosion in the real value of transfers, and 60% of them have not yet adjusted transfer amounts.",Disaster/Health
These findings carry an implication for the evidence base itself.,Disaster/Health
"Protection monitoring capacity has been reduced at the same time as protection concerns are rising, and nutrition outreach has been reduced at the same time as nutrition indicators are deteriorating.",Health
"The figures reported in this assessment should therefore be understood as a lower bound, and the response's capacity to detect further deterioration is diminishing.",Disaster/Health
"Organizations have responded with considerable adaptability, through pooled and consolidated movements, hybrid working arrangements, reduced generator runtime, joint procurement and proactive donor engagement.",Disaster/Health
