Kiswahili,Domain
Wizara yatoa vidokezo vya kukabiliana na ukame kwa matumizi endelevu ya maji.,Agriculture
Ubalozi wa Marekani ulitoa onyo la ushauri kuhusu hatari kubwa za uhalifu na ugaidi na kuhimiza tahadhari.,Security
"kama vile biashara ya mtandaoni, huduma za kifedha za kidijitali za kilimo, kilimo bora na zana zingine katika uzalishaji, ... Mabadiliko kuelekea kilimo cha kidijitali na utumiaji wa mashine yanaweza ...",Agriculture
Zima vipengele vya kuhifadhi nenosiri kwenye kivinjari ili kulinda akaunti ikiwa kifaa chako kitaibiwa.,Security
Mafunzo ya usalama wa moto bila malipo yanapatikana kwa jamii ili kuzuia na kukabiliana na milipuko ya moto.,Security
Unganisha elimu ya muziki 2022.,Education
Mifumo ya data inayoaminika hufuatilia mitindo ya vurugu na matumizi ya huduma ili kutoa taarifa kuhusu sera na programu zinazotegemea ushahidi.,Security
Hakuna afya bila afya ya akili,Health
"Uhifadhi mzuri wa malisho huzuia uchafuzi wa sumu ya aflatoxin. Weka nafaka kavu, zisizo na ukungu, na zihifadhiwe kwa usalama.",Security
"Kama una taarifa, #Wasiliana naDCI kupitia nambari ya simu 0800 722 203. Tushirikiane kudumisha haki na uwajibikaji. #FichuaGaitho",Security
Takwimu za upatikanaji wa soko la kilimo na utofauti wa lishe nchini Kenya: Mambo ya kuzingatia kuhusu jinsia kuelekea matokeo bora ya lishe ya kaya ...,Agriculture
"Hakuna kiingilio bila sare na kitambulisho kuanzia Januari 6, 2025.",Education
Mikusanyiko mikubwa huongeza hatari za wizi. Simamia makundi ya wanyama na uratibu na vyombo vya usalama.,Security
Tahadhari ya Kimbunga Hidaya yatolewa ikiwataka wakazi wa pwani kujiandaa kwa upepo mkali na mafuriko.,Security
Simu ya usaidizi wa afya ya mama bila malipo inapatikana kwa ushauri na rufaa za dharura. Piga 1195 wakati wowote.,Health
Kozi hii ya hali ya juu inajengwa juu ya 'Misingi ya kozi ya ICT4D katika Kilimo' ili kuongeza maarifa na uwezo miongoni mwa wafanyakazi wa IFAD na ...,Agriculture
Ripoti uonevu mara moja kupitia 0800721524 – kutovumilia kabisa katika shule zote!,Education
Kura yako inahesabika! Jifunze kuhusu uchaguzi katika programu za shule.,Education
NPS ilichapisha Nakala inayoelezea majukumu na matarajio ya polisi jamii katika Kaunti ya Nairobi,Security
ACAT ni jukwaa bora zaidi la uhamishaji wa teknolojia ya kilimo linalowezesha mazungumzo yaliyopangwa na ujenzi wa makubaliano kuhusu teknolojia mpya zinazobadilisha mchezo.,Agriculture
Watoto wanaohusika katika masuala ya kisheria wanapaswa kupitia mahakama maalum ili kuhakikisha kesi zinazowahusu watoto kwa haki na zinazowahusu kiwewe.,Security
DCI inaonya umma dhidi ya barua bandia za udahili wa chuo kikuu zinazotumiwa kuwadanganya wazazi. Daima thibitisha udahili moja kwa moja na taasisi hiyo.,Security
Vurugu za genge la wahalifu zaongezeka Nakuru; ripoti shughuli zinazotiliwa shaka.,Security
Shule zote za bweni lazima ziweke kengele za moto + vinyunyizio ifikapo Januari 6 - maagizo ya CS!,Education
Wasaidie walimu! Wafunze waelimishaji kwa wanafunzi wakimbizi.,Education
Utawala wa uwazi huboresha usalama na utoaji wa huduma. Endelea kuwa macho na zungumza katika jamii yako.,Security
Zuia unyanyasaji wa kijinsia 2020.,Education
Tunawaonya wote wajihadhari na matapeli wanaojifanya wafanyakazi wa Tume kuomba pesa badala ya huduma zetu Tume ya Utumishi wa Umma (PSC) ni nini? Ni Tume ya Utumishi ya kikatiba iliyoundwa chini ya Kifungu cha 233 cha Katiba.,Governance
