step,train_loss,val_loss
500,2.263248,2.383000
1000,2.040723,2.023096
1500,1.789308,1.752563
2000,1.556410,1.557876
2500,1.392417,1.425823
3000,1.343314,1.338439
3500,1.389478,1.268609
4000,1.037170,1.227699
4500,1.068935,1.179392
5000,0.968321,1.146781
5500,1.001136,1.116250
6000,0.973053,1.082808
6500,0.965542,1.057189
7000,0.957784,1.027437
7500,0.882115,0.998202
8000,0.647954,1.012085
8500,0.570550,1.008674
9000,0.640252,0.978054
9500,0.578395,0.950358
10000,0.574043,0.929775
10500,0.579752,0.913416
11000,0.514882,0.899046
11500,0.518703,0.871896
12000,0.311390,0.931150
12500,0.298572,0.932629
13000,0.282613,0.917125
